i,locat,count
25,11,39
12,22,39
16,30,39
1,5,38
17,23,38
2,4,38
24,1,38
23,0,37
18,0,37
20,4,37
19,12,35
0,0,35
6,22,35
15,31,34
21,26,34
5,13,34
0,9,34
17,11,33
24,13,33
13,27,33
3,23,32
4,21,32
7,10,32
0,30,32
5,31,32
17,9,32
19,8,31
12,12,31
9,2,31
9,31,31
12,26,31
6,10,30
0,27,30
14,2,30
6,0,29
22,19,28
7,4,28
11,23,27
26,22,27
5,12,27
7,30,27
9,19,27
9,24,27
13,6,27
11,16,27
13,10,27
19,9,27
22,14,27
24,30,27
26,2,27
10,0,26
0,14,26
6,18,26
17,2,26
17,30,26
21,28,26
4,25,25
9,5,25
14,11,25
20,9,25
24,21,25
9,1,24
17,12,23
18,1,23
26,12,23
5,15,23
6,26,23
2,1,23
6,28,22
10,5,22
6,6,22
11,8,22
20,13,22
18,18,22
8,19,22
12,10,22
2,20,21
20,25,21
22,27,21
12,15,21
12,29,21
25,16,21
0,31,20
6,20,20
16,23,20
25,3,20
17,31,19
26,20,19
1,24,19
24,19,19
6,21,18
17,10,18
18,21,18
20,19,18
21,22,18
23,22,18
13,4,18
11,10,18
26,10,18
1,21,17
11,12,17
23,31,17
4,11,17
3,13,17
6,4,17
16,11,17
3,1,16
12,3,16
12,11,16
17,7,16
4,2,16
6,23,15
1,25,15
2,9,15
3,10,15
12,2,15
13,24,15
15,17,15
26,24,15
0,26,15
22,28,15
12,0,14
18,23,14
23,28,14
18,13,14
21,4,14
22,24,13
2,16,13
3,15,13
5,30,13
11,18,13
16,2,13
23,18,13
18,29,13
23,12,13
15,27,13
16,22,13
24,18,13
14,7,12
24,31,12
5,7,12
6,17,12
9,28,12
25,9,12
15,4,12
5,18,12
24,20,12
2,29,11
3,20,11
5,8,11
5,20,11
7,14,11
11,2,11
15,16,11
22,11,11
1,7,11
1,20,11
7,24,11
8,4,11
8,22,11
10,18,11
13,18,11
15,6,11
18,10,11
20,8,11
24,0,11
26,9,11
9,29,11
4,19,11
12,7,10
0,4,10
10,12,10
11,3,10
20,29,10
24,25,10
3,26,10
3,29,10
6,12,10
6,15,10
8,23,10
11,31,10
14,12,10
15,10,10
21,14,10
10,16,10
9,22,10
5,19,9
17,26,9
23,8,9
23,16,9
10,19,9
19,1,9
24,3,9
25,23,9
1,27,8
2,23,8
3,31,8
5,23,8
6,14,8
11,27,8
11,30,8
26,5,8
1,8,8
2,24,8
7,6,8
8,28,8
11,13,8
12,27,8
16,21,8
20,7,8
21,11,8
16,14,8
24,14,8
24,23,8
25,21,8
11,4,8
10,2,7
17,15,7
18,12,7
19,0,7
20,2,7
22,10,7
7,25,7
10,31,7
11,24,7
12,24,7
17,27,7
22,7,7
26,0,7
14,29,7
25,14,7
1,28,6
2,11,6
5,5,6
6,19,6
7,5,6
9,6,6
17,28,6
22,1,6
22,15,6
23,1,6
22,25,6
0,6,6
3,6,6
6,3,6
9,0,6
9,15,6
12,31,6
14,24,6
19,14,6
25,17,6
25,28,6
2,19,6
13,23,6
15,25,6
20,16,6
21,15,6
25,18,6
5,25,6
0,12,5
3,22,5
8,9,5
9,7,5
10,14,5
12,30,5
13,14,5
14,21,5
17,6,5
17,18,5
18,28,5
19,5,5
19,28,5
20,6,5
21,10,5
25,2,5
26,11,5
15,9,5
2,15,5
4,12,5
8,16,5
13,16,5
15,3,5
15,5,5
18,15,5
18,19,5
19,21,5
22,5,5
24,17,5
0,25,5
18,27,5
18,31,5
24,4,5
26,4,5
0,13,5
25,6,5
1,31,4
4,3,4
6,8,4
11,14,4
12,1,4
13,12,4
14,30,4
16,31,4
19,2,4
21,9,4
26,18,4
1,26,4
3,4,4
7,20,4
9,26,4
11,9,4
14,23,4
15,13,4
22,6,4
23,2,4
0,3,4
2,30,4
3,30,4
4,30,4
5,14,4
7,0,4
10,17,4
11,5,4
11,6,4
11,15,4
13,7,4
15,2,4
16,3,4
19,22,4
20,0,4
22,18,4
23,5,4
6,7,4
20,27,4
25,31,4
16,4,4
1,14,3
3,18,3
12,17,3
1,2,3
2,14,3
2,26,3
3,3,3
3,8,3
4,28,3
5,6,3
7,9,3
13,20,3
13,28,3
15,29,3
15,30,3
18,5,3
18,17,3
18,26,3
20,3,3
21,12,3
21,17,3
21,30,3
22,23,3
23,24,3
25,19,3
26,13,3
2,31,3
3,27,3
4,13,3
4,14,3
4,17,3
4,18,3
4,26,3
4,27,3
5,1,3
7,2,3
7,3,3
7,21,3
7,28,3
9,4,3
9,17,3
9,25,3
10,6,3
10,8,3
11,1,3
11,22,3
11,28,3
12,19,3
13,8,3
15,12,3
15,18,3
15,19,3
16,1,3
16,5,3
17,1,3
17,4,3
17,5,3
18,6,3
18,14,3
19,31,3
20,12,3
22,9,3
23,3,3
23,19,3
24,16,3
25,5,3
25,20,3
21,8,3
21,31,3
1,18,3
10,13,3
15,24,3
16,9,3
19,13,3
19,15,3
21,6,3
22,2,3
0,18,2
1,1,2
1,3,2
1,11,2
1,12,2
1,17,2
1,19,2
1,23,2
2,25,2
3,24,2
3,25,2
4,5,2
4,7,2
4,15,2
4,20,2
5,0,2
5,3,2
5,17,2
5,24,2
5,27,2
6,13,2
6,31,2
7,23,2
8,5,2
8,6,2
8,7,2
8,15,2
8,17,2
8,20,2
8,25,2
9,8,2
9,20,2
9,21,2
9,27,2
10,1,2
10,10,2
10,23,2
10,27,2
11,19,2
11,26,2
12,5,2
12,14,2
12,23,2
13,13,2
13,15,2
13,31,2
14,8,2
14,25,2
14,27,2
14,28,2
15,7,2
15,21,2
15,22,2
15,26,2
15,28,2
16,19,2
17,14,2
17,20,2
17,24,2
18,2,2
18,7,2
18,24,2
19,7,2
19,19,2
19,24,2
19,25,2
20,5,2
20,15,2
20,26,2
20,28,2
20,30,2
22,4,2
22,20,2
22,26,2
22,30,2
23,15,2
23,26,2
25,13,2
25,26,2
25,27,2
25,30,2
26,6,2
0,16,2
0,28,2
1,9,2
4,9,2
4,22,2
8,21,2
14,4,2
16,29,2
21,7,2
21,20,2
25,8,2
26,23,2
2,3,2
4,23,2
7,29,2
8,27,2
11,7,2
14,0,2
14,22,2
16,15,2
23,27,2
24,12,2
24,29,2
0,5,2
0,24,2
2,17,2
2,21,2
3,0,2
3,12,2
3,19,2
7,31,2
9,16,2
10,21,2
13,2,2
13,19,2
14,15,2
14,17,2
14,31,2
17,21,2
18,9,2
18,16,2
20,17,2
21,1,2
22,3,2
22,13,2
22,17,2
22,21,2
24,2,2
24,5,2
25,10,2
26,14,2
11,25,2
0,7,1
0,10,1
0,11,1
0,20,1
0,22,1
0,23,1
1,4,1
1,10,1
1,15,1
2,8,1
2,13,1
2,27,1
2,28,1
3,5,1
3,11,1
4,8,1
4,16,1
4,24,1
5,2,1
5,11,1
5,16,1
5,22,1
6,1,1
6,24,1
6,29,1
7,1,1
7,11,1
7,15,1
7,18,1
7,19,1
8,0,1
8,2,1
8,8,1
8,18,1
9,10,1
9,13,1
9,14,1
9,18,1
9,30,1
10,22,1
10,25,1
10,26,1
10,28,1
10,30,1
11,20,1
11,21,1
11,29,1
12,6,1
12,9,1
12,13,1
12,16,1
12,28,1
13,5,1
13,9,1
13,17,1
13,26,1
14,5,1
14,10,1
14,20,1
14,26,1
15,14,1
16,0,1
16,10,1
16,16,1
16,17,1
16,20,1
17,0,1
17,19,1
18,3,1
18,11,1
18,22,1
19,6,1
19,11,1
19,16,1
19,20,1
19,27,1
19,30,1
20,10,1
20,11,1
20,14,1
20,20,1
20,23,1
21,2,1
21,3,1
21,5,1
21,19,1
21,29,1
22,16,1
23,7,1
23,9,1
23,20,1
23,25,1
23,29,1
24,15,1
24,22,1
24,26,1
24,28,1
25,0,1
25,4,1
25,12,1
26,16,1
26,17,1
26,27,1
2,0,1
3,9,1
6,11,1
8,29,1
9,3,1
10,29,1
17,3,1
18,30,1
23,21,1
26,26,1
26,25,1
