i,locat,count
4,18,2
9,17,2
23,27,2
25,17,2
3,24,2
3,27,2
2,28,2
10,30,2
12,6,2
24,12,2
1,18,2
14,23,2
18,31,2
19,15,2
22,15,2
4,8,2
11,21,2
12,23,2
7,31,2
10,18,1
15,30,1
18,11,1
25,27,1
0,20,1
2,13,1
8,6,1
10,26,1
14,22,1
20,30,1
21,5,1
21,17,1
25,26,1
18,26,1
23,7,1
0,22,1
1,4,1
1,15,1
2,3,1
2,8,1
5,2,1
5,16,1
5,22,1
6,24,1
6,29,1
6,31,1
7,19,1
8,15,1
9,13,1
9,14,1
9,26,1
11,29,1
13,17,1
13,26,1
14,26,1
15,14,1
16,10,1
17,24,1
19,16,1
21,31,1
22,16,1
22,20,1
22,30,1
23,15,1
23,26,1
24,15,1
25,4,1
15,29,1
25,28,1
4,15,1
5,3,1
14,27,1
9,27,1
0,11,1
0,23,1
10,22,1
23,25,1
0,3,1
0,5,1
0,24,1
2,17,1
2,21,1
3,9,1
6,11,1
7,3,1
7,28,1
9,3,1
9,16,1
12,1,1
13,2,1
13,8,1
13,14,1
16,29,1
17,3,1
18,30,1
19,22,1
20,17,1
21,7,1
21,20,1
22,17,1
24,5,1
26,13,1
