i,locat,count
0,9,14
21,8,14
10,29,14
20,13,14
9,15,14
1,10,14
10,1,14
14,11,14
3,15,13
17,31,13
12,10,13
0,27,13
3,8,13
8,2,13
9,19,12
9,23,12
17,12,12
13,28,12
1,14,12
24,4,12
19,20,12
24,25,12
26,27,12
11,10,12
20,4,12
5,12,11
19,31,11
0,12,11
9,12,10
18,1,10
11,18,10
17,23,10
4,2,10
10,16,10
22,1,10
2,18,10
25,17,10
23,12,10
9,16,10
17,24,10
24,31,9
22,4,9
1,2,9
15,17,9
17,26,9
15,2,9
18,26,9
5,25,9
17,11,8
21,9,8
2,30,8
4,24,8
5,19,8
6,19,8
16,5,8
2,13,8
3,11,8
5,11,8
1,12,8
5,31,8
13,4,7
20,18,7
26,7,7
4,25,7
7,4,7
13,13,7
18,20,7
16,3,7
2,29,7
12,9,7
16,19,7
8,25,7
20,30,7
11,29,7
18,2,7
11,3,6
22,24,6
17,6,6
14,12,6
22,15,6
5,8,6
7,15,6
24,14,6
3,20,6
9,8,6
4,28,6
16,0,6
8,21,6
14,1,6
26,9,6
19,13,6
0,0,5
4,21,5
16,24,5
22,27,5
24,21,5
25,23,5
20,16,5
12,29,5
10,28,5
25,26,5
23,2,5
4,13,5
7,3,5
1,5,4
5,23,4
9,24,4
18,16,4
1,24,4
9,25,4
4,16,4
13,16,4
18,13,4
26,0,4
2,27,4
16,7,4
7,23,4
22,18,4
8,17,4
23,13,4
10,21,4
6,30,3
6,0,3
11,30,3
22,10,3
11,25,3
4,20,3
11,6,3
14,22,3
1,9,3
12,30,3
14,7,3
23,18,3
25,20,3
24,18,3
7,31,3
8,4,3
14,24,3
22,7,3
25,6,3
25,12,3
1,26,3
8,20,3
16,21,3
7,24,3
25,30,3
15,19,3
25,14,3
16,4,3
9,20,3
13,7,3
19,9,3
12,8,2
25,15,2
7,0,2
21,14,2
21,26,2
13,24,2
12,15,2
26,11,2
8,5,2
8,15,2
10,18,2
12,31,2
14,28,2
18,15,2
18,17,2
20,5,2
24,19,2
4,27,2
5,6,2
18,5,2
25,13,2
5,22,2
6,15,2
5,20,2
7,18,2
14,4,2
15,14,2
1,1,2
6,18,2
12,27,2
26,5,2
19,5,2
17,18,2
11,2,2
23,20,2
24,29,2
3,3,2
22,9,2
0,7,2
17,8,1
0,14,1
16,1,1
17,28,1
7,10,1
24,23,1
25,21,1
23,5,1
6,13,1
8,22,1
8,23,1
15,28,1
18,22,1
19,30,1
22,20,1
24,0,1
14,0,1
15,26,1
2,24,1
13,31,1
1,11,1
23,15,1
24,12,1
19,0,1
4,23,1
6,29,1
7,1,1
14,26,1
9,6,1
5,24,1
25,0,1
3,29,1
17,20,1
25,27,1
1,28,1
18,9,1
9,27,1
0,19,1
12,24,1
21,17,1
24,3,1
9,22,1
23,24,1
18,21,1
2,0,1
20,10,1
15,25,1
18,28,1
21,12,1
22,3,1
0,23,1
25,11,1
14,20,1
4,5,1
4,12,1
4,15,1
13,18,1
15,13,1
15,21,1
16,20,1
22,13,1
22,17,1
7,5,1
9,17,1
14,17,1
20,20,1
3,9,1
8,16,1
26,17,1
